Prompt,Response
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Vomiting ,  Low-grade fever ,  Nausea ,  Headache ,  Abdominal pain ,  Loss of appetite ,  Body aches ,  General discomfort ,   ,   ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Roseola and is experiencing symptoms like Rash ,  Fatigue ,  Cough ,  Red eyes ,  Vomiting ,  Loss of appetite ,  Body aches ,  Chills ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Roseola and is experiencing symptoms like Headache ,  Cough ,  Red eyes ,  Diarrhea ,  Vomiting ,  Loss of appetite ,   ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with ""Hand and is experiencing symptoms like Foot ,   and Mouth Disease"" ,  Rash on hands and feet ,  Irritability ,  Mouth sores ,  Blisters ,  Fatigue ,  Difficulty swallowing ,   ,   ,   ,   ,   ,. What is the recommended treatment?",Consult a doctor for an accurate diagnosis and treatment plan.
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Stomach cramps ,  Low-grade fever ,  Headache ,  Dehydration ,  Sweating ,  Rashes ,   ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Roseola and is experiencing symptoms like High fever ,  Irritability ,  Fatigue ,  Sore throat ,  Headache ,  Cough ,  Diarrhea ,  Body aches ,  Feverish ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Roseola and is experiencing symptoms like High fever ,  Rash ,  Swollen lymph nodes ,  Headache ,  Diarrhea ,  Vomiting ,  Abdominal pain ,  Chills ,  Feverish ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Fever ,  Abdominal pain or cramps ,  Diarrhea ,  Nausea ,  Headache ,  Fatigue ,  Loss of appetite ,  Body aches ,  Feverish ,  Rashes ,  General discomfort ,  Joint pain. What is the recommended treatment?","Treatment: Stay hydrated. Medication: Loperamide 2mg if non-infectious, probiotics."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Diarrhea ,  Bloody stools ,  Stomach cramps ,  Headache ,  Fatigue ,  Loss of appetite ,  Muscle aches ,  General discomfort ,   ,   ,   ,. What is the recommended treatment?","Treatment: Stay hydrated. Medication: Loperamide 2mg if non-infectious, probiotics."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Stomach cramps ,  Muscle aches ,  Loss of appetite ,  Chills ,  Body aches ,  Rashes ,  Fever ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Nausea ,  Vomiting ,  Bloody stools ,  Headache ,  Dehydration ,  Muscle aches ,  Rashes ,  General discomfort ,  Chills ,   ,   ,. What is the recommended treatment?","Treatment: Eat bland foods, avoid strong odors. Medication: Ondansetron 4mg as needed."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Fever ,  Abdominal pain or cramps ,  Diarrhea ,  Bloody stools ,  Stomach cramps ,  Fatigue ,  Dehydration ,  Loss of appetite ,  Muscle aches ,  Chills ,   ,. What is the recommended treatment?","Treatment: Stay hydrated. Medication: Loperamide 2mg if non-infectious, probiotics."
"A patient is diagnosed with Roseola and is experiencing symptoms like Runny nose ,  Rash ,  Irritability ,  Fatigue ,  Cough ,  Red eyes ,  Vomiting ,  Loss of appetite ,  Abdominal pain ,  Rashes ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Fever ,  Abdominal pain or cramps ,  Nausea ,  Headache ,  Dehydration ,  Loss of appetite ,  Feverish ,  Rashes ,  Chills ,  Joint pain ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Roseola and is experiencing symptoms like Runny nose ,  Rash ,  Irritability ,  Fatigue ,  Swollen lymph nodes ,  Headache ,  Cough ,  Red eyes ,  Vomiting ,  Abdominal pain ,  Chills ,  Feverish. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Diarrhea ,  Nausea ,  Stomach cramps ,  Dehydration ,  Loss of appetite ,  Muscle aches ,  Feverish ,  Rashes ,  General discomfort ,  Chills ,   ,. What is the recommended treatment?","Treatment: Stay hydrated. Medication: Loperamide 2mg if non-infectious, probiotics."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Fever ,  Nausea ,  Vomiting ,  Stomach cramps ,  Dehydration ,  Feverish ,  Joint pain ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Abdominal pain or cramps ,  Bloody stools ,  Stomach cramps ,  Dehydration ,  Loss of appetite ,  Muscle aches ,  Body aches ,  Rashes ,  Joint pain ,   ,   ,. What is the recommended treatment?","Treatment: Avoid spicy foods, drink warm fluids. Medication: Antacids Pantoprazole 40mg if reflux suspected."
"A patient is diagnosed with Roseola and is experiencing symptoms like Irritability ,  Swollen lymph nodes ,  Sore throat ,  Headache ,  Cough ,  Abdominal pain ,   ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Diarrhea ,  Stomach cramps ,  Headache ,  Loss of appetite ,  Dehydration ,  Rashes ,  Fever ,  Irritability ,   ,   ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Roseola and is experiencing symptoms like Runny nose ,  Rash ,  Irritability ,  Fatigue ,  Red eyes ,  Diarrhea ,  Loss of appetite ,  Rashes ,  Feverish ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Roseola and is experiencing symptoms like Rash ,  Headache ,  Vomiting ,  Loss of appetite ,  Abdominal pain ,  Body aches ,  Rashes ,  Feverish ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Fever ,  Diarrhea ,  Vomiting ,  Bloody stools ,  Dehydration ,  Muscle aches ,  Body aches ,  Feverish ,   ,   ,   ,. What is the recommended treatment?","Treatment: Stay hydrated. Medication: Loperamide 2mg if non-infectious, probiotics."
"A patient is diagnosed with ""Hand and is experiencing symptoms like Foot ,   and Mouth Disease"" ,  Rash on hands and feet ,  Irritability ,  Mouth sores ,  Red spots ,  Blisters ,  Cough ,  Headache ,  General discomfort ,  Mild fever ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Roseola and is experiencing symptoms like Irritability ,  Swollen lymph nodes ,  Sore throat ,  Headache ,  Cough ,  Diarrhea ,  Vomiting ,  Loss of appetite ,  Rashes ,  Chills ,  Feverish ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Fifth Disease (Erythema Infectiosum) and is experiencing symptoms like Rash on face ,  Sore throat ,  Runny or stuffy nose ,  Swollen joints ,  Fever ,   ,   ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Diarrhea ,  Vomiting ,  Muscle aches ,  Headache ,  Fatigue ,  Chills ,  Body aches ,  General discomfort ,   ,   ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Roseola and is experiencing symptoms like High fever ,  Rash ,  Irritability ,  Fatigue ,  Swollen lymph nodes ,  Sore throat ,  Red eyes ,  Diarrhea ,  Vomiting ,  Body aches ,  Rashes ,  Feverish. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Mumps and is experiencing symptoms like Headache ,  ""Swollen ,   painful salivary glands"" ,  Pain while chewing or swallowing ,  Muscle aches ,  Tiredness ,  Trouble chewing ,  Testicle pain and tenderness ,  Fever ,  Headache ,  Muscle aches ,  Tiredness ,  Loss of appetite. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Diarrhea ,  Vomiting ,  Stomach cramps ,  Fatigue ,  Abdominal pain ,  Dehydration ,  Chills ,  Sweating ,  Body aches ,  Fever ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Abdominal pain or cramps ,  Diarrhea ,  Bloody stools ,  Headache ,  Fatigue ,  Dehydration ,  Body aches ,  Feverish ,  General discomfort ,  Chills ,  Joint pain ,. What is the recommended treatment?","Treatment: Stay hydrated. Medication: Loperamide 2mg if non-infectious, probiotics."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Abdominal pain or cramps ,  Diarrhea ,  Nausea ,  Vomiting ,  Bloody stools ,  Stomach cramps ,  Headache ,  Muscle aches ,  Body aches ,  Rashes ,  General discomfort ,. What is the recommended treatment?","Treatment: Stay hydrated. Medication: Loperamide 2mg if non-infectious, probiotics."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Diarrhea ,  Vomiting ,  Muscle aches ,  Nausea ,  Headache ,  Abdominal pain ,  Dehydration ,  Chills ,  Sweating ,  Body aches ,  Rashes ,  General discomfort ,  Irritability. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Headache ,  Abdominal pain ,  Dehydration ,  Sweating ,  Body aches ,  Rashes ,  General discomfort ,  Irritability ,   ,   ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with ""Hand and is experiencing symptoms like Foot ,   and Mouth Disease"" ,  Fever ,  Sores in mouth ,  Irritability ,  Mouth sores ,  Blisters ,  Fatigue ,  Sore muscles ,  Headache ,  Mild fever ,  Difficulty swallowing ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Fever ,  Nausea ,  Vomiting ,  Bloody stools ,  Headache ,  Fatigue ,  Dehydration ,  Loss of appetite ,  Body aches ,  Feverish ,  General discomfort ,  Chills ,  Joint pain. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Abdominal pain or cramps ,  Diarrhea ,  Nausea ,  Vomiting ,  Bloody stools ,  Dehydration ,  Muscle aches ,  Feverish ,  Rashes ,  Chills ,   ,. What is the recommended treatment?","Treatment: Stay hydrated. Medication: Loperamide 2mg if non-infectious, probiotics."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Diarrhea ,  Vomiting ,  Stomach cramps ,  Nausea ,  Dehydration ,  Chills ,  Fever ,  Irritability ,   ,   ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Fever ,  Diarrhea ,  Vomiting ,  Stomach cramps ,  Feverish ,  Rashes ,  General discomfort ,  Joint pain ,   ,   ,   ,. What is the recommended treatment?","Treatment: Stay hydrated. Medication: Loperamide 2mg if non-infectious, probiotics."
"A patient is diagnosed with Roseola and is experiencing symptoms like Runny nose ,  Rash ,  Fatigue ,  Red eyes ,  Vomiting ,  Rashes ,  Chills ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration, and fever management. Medication: Acetaminophen Paracetamol 500mg for fever."
"A patient is diagnosed with Norovirus Infection and is experiencing symptoms like Vomiting ,  Muscle aches ,  Headache ,  Sweating ,  Body aches ,  Rashes ,  General discomfort ,  Irritability ,   ,   ,   ,. What is the recommended treatment?","Treatment: Hydration is key. Medication: ORS solution, Ondansetron 4mg for nausea."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Vomiting ,  Bloody stools ,  Stomach cramps ,  Fatigue ,  Dehydration ,  Loss of appetite ,  Feverish ,   ,   ,   ,   ,. What is the recommended treatment?","Treatment: Rest, hydration. Medication: Paracetamol 500mg every 6-8 hours if needed."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Abdominal pain or cramps ,  Diarrhea ,  Bloody stools ,  Stomach cramps ,  Headache ,  Fatigue ,  Dehydration ,  Muscle aches ,  Feverish ,  Rashes ,  General discomfort ,. What is the recommended treatment?","Treatment: Stay hydrated. Medication: Loperamide 2mg if non-infectious, probiotics."
"A patient is diagnosed with Shigellosis (Bacillary Dysentery) and is experiencing symptoms like Fever ,  Diarrhea ,  Vomiting ,  Dehydration ,  Loss of appetite ,  Muscle aches ,  Feverish ,  Chills ,  Joint pain ,   ,   ,. What is the recommended treatment?","Treatment: Stay hydrated. Medication: Loperamide 2mg if non-infectious, probiotics."
